,var_name,lr_importance,rf_importance
168,onehotencoder__Model_Amaze SX i-DTEC,191860.0948327043,3.816957215098708e-06
169,onehotencoder__Model_Amaze V CVT Petrol BSIV,4.656612873077393e-10,0.0
170,onehotencoder__Model_Amaze V Petrol BSIV,11701.884224537032,1.1070101898088853e-06
171,onehotencoder__Model_Amaze VX Diesel BSIV,128986.46354448934,2.884935525923415e-06
172,onehotencoder__Model_Amaze VX O iDTEC,313900.1212017166,2.673891475130014e-06
173,onehotencoder__Model_Amaze VX Petrol BSIV,9.913492249324918e-10,0.0
174,onehotencoder__Model_Amaze VX i-DTEC,197598.01150412578,1.98253272338103e-05
175,onehotencoder__Model_Amaze VX i-VTEC,59666.23329374153,9.075098718058192e-06
176,onehotencoder__Model_Amaze i-VTEC Privilege Edition,18556.022698412213,1.0338177972550537e-05
177,onehotencoder__Model_Ameo 1.0 MPI Comfortline,66603.72616148737,6.472465310917764e-08
178,onehotencoder__Model_Ameo 1.0 MPI Trendline,26625.39966047526,3.779305360322992e-06
179,onehotencoder__Model_Ameo 1.2 MPI Comfortline,71462.99885173433,1.835502205764189e-06
180,onehotencoder__Model_Ameo 1.2 MPI Comfortline Plus,130013.42052670372,2.979362991490165e-09
181,onehotencoder__Model_Ameo 1.2 MPI Highline,162467.56791738438,1.4353410977757966e-06
182,onehotencoder__Model_Ameo 1.2 MPI Highline Plus 16,204250.276323324,9.836973100387778e-07
183,onehotencoder__Model_Ameo 1.5 TDI Comfortline,74776.70957271405,5.4103845239185955e-05
184,onehotencoder__Model_Ameo 1.5 TDI Comfortline AT,324188.0814642452,7.93039442789439e-06
185,onehotencoder__Model_Ameo 1.5 TDI Highline 16 Alloy,38147.23187902963,3.192734668208363e-06
186,onehotencoder__Model_Ameo 1.5 TDI Highline Plus,91866.04608720228,1.6657605882733328e-06
187,onehotencoder__Model_Ameo 1.5 TDI Highline Plus 16 AT,335969.8655317363,4.856415481649025e-06
188,onehotencoder__Model_Ameo 1.5 TDI Trendline,67722.58898980307,1.8771432280807312e-06
189,onehotencoder__Model_Aria Pleasure 4x2,260197.1758098008,2.978710090083556e-06
190,onehotencoder__Model_Aria Prestige 4x2,2.648448571562767e-09,0.0
191,onehotencoder__Model_Aria Pride,233523.20664894616,5.570153371469433e-06
192,onehotencoder__Model_Aria Pure LX 4x2,228004.66385715874,6.798073169613584e-07
193,onehotencoder__Model_Aspire Titanium BSIV,92582.62438298395,5.810112322860267e-06
194,onehotencoder__Model_Aspire Titanium Diesel BSIV,62885.76409098998,3.664356144958997e-06
195,onehotencoder__Model_Aspire Trend Diesel BSIV,239655.7778417404,2.0742891483526836e-06
196,onehotencoder__Model_Aspire Trend Plus,90451.2960726118,4.372342609814625e-06
197,onehotencoder__Model_Astra 1.6,257210.423990208,3.2542171056993636e-09
198,onehotencoder__Model_Aveo 1.4 LS,112353.77557096387,5.238326165695893e-08
199,onehotencoder__Model_Aveo U-VA 1.2,58036.57916280921,5.6546206856346884e-08
200,onehotencoder__Model_Aveo U-VA 1.2 LS,53124.43143610562,2.546353653679752e-07
201,onehotencoder__Model_Aveo U-VA 1.2 LT,14092.162212879091,0.0
202,onehotencoder__Model_Avventura MULTIJET Emotion,0.0,0.0
203,onehotencoder__Model_Avventura Power Up 1.3 Active,146221.52170364224,1.4163196466316294e-05
204,onehotencoder__Model_Avventura Power Up 1.3 Emotion,6027.780132959906,5.323184470035425e-06
205,onehotencoder__Model_B Class B180,847449.9689974262,4.091203462631774e-05
206,onehotencoder__Model_B Class B180 Sports,868185.6809586429,7.124090243152216e-05
207,onehotencoder__Model_B Class B200 CDI Sport,417394.6773835126,0.00028996010137152003
208,onehotencoder__Model_BR-V i-DTEC S MT,298603.492469688,4.948119139818253e-06
209,onehotencoder__Model_BR-V i-DTEC VX MT,295088.85503681516,5.762686820149163e-06
210,onehotencoder__Model_BR-V i-VTEC E MT,190919.110565357,7.720180824724768e-07
211,onehotencoder__Model_BR-V i-VTEC S MT,271976.35860412335,5.61902172667472e-07
212,onehotencoder__Model_BR-V i-VTEC VX MT,4.307366907596588e-09,0.0
213,onehotencoder__Model_BRV i-DTEC V MT,326581.8995826375,3.0234780203664972e-05
214,onehotencoder__Model_BRV i-VTEC V CVT,153292.2560679348,0.0001393236664126798
215,onehotencoder__Model_BRV i-VTEC V MT,355998.8816555346,1.548145618363881e-07
